code_id,comment,sentiment_category,class7_label_vt,annotation_1,annotation_2
1988,"Since I started dialysis, I have learned that medical support helps me stay hopeful, while adjusting to this long-term condition.",moderate joy,mild joy,mild joy,high joy
11147,"Being treated with dialysis has made me realize that I focus mainly on following medical instructions, despite the challenges involved.",moderate joy,mild joy,neutral,neutral
11488,An ultrasound is not required to diagnose kidney failure. Blood tests are sufficient.,moderate sadness,mild sadness,neutral,neutral
5873,"My experience as a dialysis patient tells me that the treatment allows me to maintain balance in my life, despite the challenges involved.",high joy,high joy,high joy,mild joy
20191,"Being treated with dialysis has made me realize that the illness weighs heavily on both my body and my mind, as I try to adapt day by day.",mild sadness,neutral,mild sadness,mild sadness 
7317,"My experience as a dialysis patient tells me that dialysis gives me reassurance despite the difficulties, despite the challenges involved.",moderate joy,mild joy,moderate joy,high joy
189,"Being treated with dialysis has made me realize that the care I receive brings me a sense of relief, as I try to adapt day by day.",high joy,high joy,high joy,mild joy
8557,"As someone undergoing dialysis, I feel that the constant medical routine can be emotionally overwhelming, while adjusting to this long-term condition.",moderate sadness,mild sadness,neutral,mild sadness 
18965,"As someone undergoing dialysis, I feel that the illness weighs heavily on both my body and my mind, despite the challenges involved.",mild joy,moderate joy,mild sadness ,moderate sadness
17815,"Being treated with dialysis has made me realize that the treatment allows me to maintain balance in my life, as I try to adapt day by day.",mild joy,high joy,high joy,moderate joy 
13211,"My experience as a dialysis patient tells me that the illness weighs heavily on both my body and my mind, while adjusting to this long-term condition.",moderate sadness,mild sadness,moderate sadness,neutral
14976,"As someone undergoing dialysis, I feel that dialysis helps me continue living with some stability, while adjusting to this long-term condition.",high joy,high joy,high joy,mild joy
14978,"Since I started dialysis, I have learned that the burden of treatment affects my sense of stability, as part of my ongoing health journey.",mild sadness,mild joy,mild sadness,moderate sadness
11563,"My experience as a dialysis patient tells me that the repeated treatments slowly drain my energy and morale, despite the challenges involved.",mild sadness,neutral,mild sadness,moderate sadness
6692,"As someone undergoing dialysis, I feel that my daily life is organized around treatment sessions, as I try to adapt day by day.",mild joy,neutral,neutral,neutral
10080,"Since I started dialysis, I have learned that the burden of treatment affects my sense of stability, while adjusting to this long-term condition.",moderate sadness,mild sadness,moderate sadness,mild sadness 
20989,"Being treated with dialysis has made me realize that dialysis gives me reassurance despite the difficulties, as I try to adapt day by day.",neutral,moderate joy,moderate joy,high joy
10454,"My experience as a dialysis patient tells me that dialysis helps me continue living with some stability, as part of my ongoing health journey.",mild joy,neutral,mild joy,mild joy
19886,"My experience as a dialysis patient tells me that the constant medical routine can be emotionally overwhelming, even when the process feels demanding.",neutral,moderate joy,moderate sadness,deep sadness
5583,"My experience as a dialysis patient tells me that the repeated treatments slowly drain my energy and morale, even when the process feels demanding.",moderate joy,mild joy,moderate joy,moderate sadness
18146,"As someone undergoing dialysis, I feel that the illness weighs heavily on both my body and my mind, as part of my ongoing health journey.",mild sadness,neutral,mild sadness,neutral
17461,"Being treated with dialysis has made me realize that treatment sessions structure most of my week, as I try to adapt day by day.",mild joy,neutral,neutral,neutral
4192,"My experience as a dialysis patient tells me that the illness weighs heavily on both my body and my mind, as I try to adapt day by day.",moderate sadness,mild sadness,moderate sadness,mild sadness 
1006,"Living with dialysis has shown me that the treatment allows me to maintain balance in my life, while adjusting to this long-term condition.",moderate joy,mild joy,moderate joy,moderate joy 
15751,"My experience as a dialysis patient tells me that the treatment allows me to maintain balance in my life, as I try to adapt day by day.",mild sadness,mild joy,mild joy,moderate joy 
3612,"Since I started dialysis, I have learned that the physical fatigue often turns into emotional exhaustion, as I try to adapt day by day.",moderate sadness,mild sadness,moderate sadness,deep sadness
692,"My experience as a dialysis patient tells me that medical support helps me stay hopeful, even when the process feels demanding.",high joy,high joy,high joy,moderate joy 
4257,"Since I started dialysis, I have learned that the illness weighs heavily on both my body and my mind, as part of my ongoing health journey.",neutral,moderate joy,moderate sadness,mild sadness 
18280,"Since I started dialysis, I have learned that my daily life is organized around treatment sessions, as I try to adapt day by day.",moderate joy,mild joy,neutral,neutral
2934,"My experience as a dialysis patient tells me that the illness weighs heavily on both my body and my mind, as part of my ongoing health journey.",deep sadness,deep sadness,deep sadness,deep sadness
5562,"My experience as a dialysis patient tells me that the care I receive brings me a sense of relief, as part of my ongoing health journey.",moderate joy,mild joy,moderate joy,mild joy
8371,"Living with dialysis has shown me that the constant medical routine can be emotionally overwhelming, even when the process feels demanding.",moderate sadness,mild sadness,moderate sadness,high joy
7994,"As someone undergoing dialysis, I feel that dialysis gives me reassurance despite the difficulties, as part of my ongoing health journey.",high joy,high joy,high joy,high joy
14569,"My experience as a dialysis patient tells me that the physical fatigue often turns into emotional exhaustion, even when the process feels demanding.",moderate sadness,mild sadness,moderate sadness,deep sadness
15784,"Since I started dialysis, I have learned that dialysis gives me reassurance despite the difficulties, as I try to adapt day by day.",high joy,high joy,high joy,high joy
14362,"Being treated with dialysis has made me realize that the repeated treatments slowly drain my energy and morale, despite the challenges involved.",moderate joy,mild joy,moderate sadness,deep sadness
416,"My experience as a dialysis patient tells me that medical support helps me stay hopeful, as I try to adapt day by day.",high joy,high joy,high joy,mild joy
18022,you would need time to train for any kind of home dialysis,neutral,moderate joy,neutral,neutral
18909,"Since I started dialysis, I have learned that the illness weighs heavily on both my body and my mind, even when the process feels demanding.",mild joy,neutral,mild sadness ,mild sadness 
6656,"Living with dialysis has shown me that the physical fatigue often turns into emotional exhaustion, despite the challenges involved.",neutral,moderate joy,deep sadness,moderate sadness
1686,"Living with dialysis has shown me that the care I receive brings me a sense of relief, despite the challenges involved.",high joy,high joy,high joy,high joy
1294,"Since I started dialysis, I have learned that dialysis gives me reassurance despite the difficulties, as part of my ongoing health journey.",high joy,high joy,high joy,moderate joy 
15446,"Since I started dialysis, I have learned that the treatment allows me to maintain balance in my life, despite the challenges involved.",moderate joy,mild joy,moderate joy,mild joy
7449,"Since I started dialysis, I have learned that medical support helps me stay hopeful, as part of my ongoing health journey.",high joy,high joy,high joy,moderate joy 
13919,"My experience as a dialysis patient tells me that I focus mainly on following medical instructions, despite the challenges involved.",neutral,moderate joy,neutral,neutral
23027,"Since I started dialysis, I have learned that my health management requires frequent hospital visits, even when the process feels demanding.",mild sadness,neutral,neutral,neutral
6951,"Living with dialysis has shown me that the burden of treatment affects my sense of stability, even when the process feels demanding.",mild sadness,neutral,mild sadness,moderate sadness
15984,I think you'd be better off helping figure out and get the stomach issue treated since dialysis isn't the issue.,neutral,moderate joy,neutral,mild sadness 
14136,"As someone undergoing dialysis, I feel that I focus mainly on following medical instructions, as I try to adapt day by day.",neutral,moderate joy,neutral,neutral
9677,"Since I started dialysis, I have learned that the repeated treatments slowly drain my energy and morale, despite the challenges involved.",mild joy,neutral,mild joy,moderate sadness
23158,"Being treated with dialysis has made me realize that dialysis has become part of my regular routine, as part of my ongoing health journey.",mild joy,neutral,neutral,neutral
826,"As someone undergoing dialysis, I feel that treatment sessions structure most of my week, despite the challenges involved.",neutral,moderate joy,neutral,neutral
12917,"Living with dialysis has shown me that the constant medical routine can be emotionally overwhelming, despite the challenges involved.",mild sadness,neutral,mild sadness,moderate sadness
11354,"Being treated with dialysis has made me realize that medical support helps me stay hopeful, while adjusting to this long-term condition.",moderate joy,mild joy,moderate joy,high joy
2319,"As someone undergoing dialysis, I feel that the physical fatigue often turns into emotional exhaustion, even when the process feels demanding.",moderate sadness,moderate sadness,moderate sadness,deep sadness
8903,"Being treated with dialysis has made me realize that the constant medical routine can be emotionally overwhelming, even when the process feels demanding.",moderate sadness,mild sadness,mild sadness,moderate sadness
16232,"Living with dialysis has shown me that dialysis gives me reassurance despite the difficulties, even when the process feels demanding.",moderate joy,mild joy,moderate joy,high joy
12161,"Living with dialysis has shown me that the repeated treatments slowly drain my energy and morale, despite the challenges involved.",moderate sadness,mild sadness,moderate sadness,mild sadness 
3472,"My experience as a dialysis patient tells me that the repeated treatments slowly drain my energy and morale, as part of my ongoing health journey.",moderate sadness,moderate sadness,moderate sadness,deep sadness
23095,"Being treated with dialysis has made me realize that my daily life is organized around treatment sessions, even when the process feels demanding.",mild joy,neutral,mild joy,neutral
16739,"Living with dialysis has shown me that medical support helps me stay hopeful, while adjusting to this long-term condition.",high joy,high joy,high joy,high joy
18005,"Since I started dialysis, I have learned that the illness weighs heavily on both my body and my mind, despite the challenges involved.",neutral,moderate joy,mild sadness ,neutral
12367,"Being treated with dialysis has made me realize that dialysis helps me continue living with some stability, as part of my ongoing health journey.",neutral,moderate joy,moderate joy,mild joy
6010,"Living with dialysis has shown me that the treatment allows me to maintain balance in my life, as I try to adapt day by day.",mild joy,neutral,mild joy,moderate joy 
15081,"Since I started dialysis, I have learned that the constant medical routine can be emotionally overwhelming, despite the challenges involved.",moderate sadness,mild sadness,moderate sadness,deep sadness
21094,"My experience as a dialysis patient tells me that the care I receive brings me a sense of relief, despite the challenges involved.",moderate joy,mild joy,moderate joy,high joy
20409,"Being treated with dialysis has made me realize that the care I receive brings me a sense of relief, while adjusting to this long-term condition.",moderate joy,mild joy,high joy,moderate joy 
15914,"As someone undergoing dialysis, I feel that the illness weighs heavily on both my body and my mind, as I try to adapt day by day.",moderate sadness,mild sadness,moderate sadness,deep sadness
12790,"Living with dialysis has shown me that the repeated treatments slowly drain my energy and morale, as part of my ongoing health journey.",neutral,mild joy,deep sadness,mild sadness 
866,"Being treated with dialysis has made me realize that the burden of treatment affects my sense of stability, while adjusting to this long-term condition.",deep sadness,deep sadness,deep sadness,deep sadness
11575,"Being treated with dialysis has made me realize that dialysis helps me continue living with some stability, despite the challenges involved.",high joy,high joy,high joy,moderate joy 
13699,"Living with dialysis has shown me that the physical fatigue often turns into emotional exhaustion, as I try to adapt day by day.",mild sadness,neutral,mild sadness,moderate sadness
11005,"As someone undergoing dialysis, I feel that the repeated treatments slowly drain my energy and morale, even when the process feels demanding.",mild joy,neutral,deep sadness,deep sadness
23063,"As someone undergoing dialysis, I feel that the burden of treatment affects my sense of stability, as part of my ongoing health journey.",moderate sadness,mild sadness,mild sadness,moderate sadness
4511,"Living with dialysis has shown me that my health management requires frequent hospital visits, while adjusting to this long-term condition.",moderate joy,mild joy,neutral,mild joy
781,"My experience as a dialysis patient tells me that the treatment allows me to maintain balance in my life, as part of my ongoing health journey.",high joy,high joy,high joy,moderate joy 
3564,"As someone undergoing dialysis, I feel that the physical fatigue often turns into emotional exhaustion, as part of my ongoing health journey.",moderate joy,mild joy,moderate joy,mild sadness 
12102,"Living with dialysis has shown me that the illness weighs heavily on both my body and my mind, while adjusting to this long-term condition.",deep sadness,moderate sadness,deep sadness,moderate sadness
22214,"Living with dialysis has shown me that dialysis helps me continue living with some stability, as I try to adapt day by day.",mild joy,neutral,mild joy,high joy
3115,"Since I started dialysis, I have learned that the burden of treatment affects my sense of stability, despite the challenges involved.",mild sadness,neutral,mild sadness,neutral
19985,"Living with dialysis has shown me that the repeated treatments slowly drain my energy and morale, as I try to adapt day by day.",mild sadness,neutral,mild sadness,mild sadness 
7034,"My experience as a dialysis patient tells me that the burden of treatment affects my sense of stability, even when the process feels demanding.",moderate joy,mild joy,mild sadness ,mild sadness 
16350,"My experience as a dialysis patient tells me that dialysis helps me continue living with some stability, while adjusting to this long-term condition.",neutral,moderate joy,moderate joy,mild joy
11804,"My experience as a dialysis patient tells me that dialysis has become part of my regular routine, even when the process feels demanding.",neutral,moderate joy,moderate joy,neutral
18838,"Being treated with dialysis has made me realize that the physical fatigue often turns into emotional exhaustion, as I try to adapt day by day.",deep sadness,moderate sadness,moderate sadness,deep sadness
19330,"Living with dialysis has shown me that the constant medical routine can be emotionally overwhelming, while adjusting to this long-term condition.",mild sadness,neutral,mild sadness,neutral
23141,"Living with dialysis has shown me that the repeated treatments slowly drain my energy and morale, even when the process feels demanding.",moderate sadness,mild sadness,deep sadness,deep sadness
11312,"Living with dialysis has shown me that the burden of treatment affects my sense of stability, as part of my ongoing health journey.",neutral,moderate joy,moderate sadness,mild sadness 
6783,"Being treated with dialysis has made me realize that dialysis gives me reassurance despite the difficulties, as part of my ongoing health journey.",neutral,moderate joy,moderate joy,mild joy
7447,"Living with dialysis has shown me that dialysis helps me continue living with some stability, despite the challenges involved.",high joy,high joy,high joy,high joy
16016,"Being treated with dialysis has made me realize that the illness weighs heavily on both my body and my mind, despite the challenges involved.",moderate sadness,mild sadness,mild sadness,neutral
4645,"Being treated with dialysis has made me realize that the burden of treatment affects my sense of stability, even when the process feels demanding.",mild joy,neutral,mild sadness ,deep sadness
14386,"As someone undergoing dialysis, I feel that the constant medical routine can be emotionally overwhelming, despite the challenges involved.",mild sadness,neutral,mild sadness,moderate sadness
3820,"Being treated with dialysis has made me realize that the repeated treatments slowly drain my energy and morale, as I try to adapt day by day.",mild sadness,neutral,mild sadness,neutral
11333,"Since I started dialysis, I have learned that the illness weighs heavily on both my body and my mind, as I try to adapt day by day.",moderate sadness,mild sadness,mild sadness,deep sadness
8888,"Living with dialysis has shown me that the care I receive brings me a sense of relief, as I try to adapt day by day.",moderate joy,mild joy,mild joy,mild joy
18736,"As someone undergoing dialysis, I feel that the treatment allows me to maintain balance in my life, as part of my ongoing health journey.",moderate joy,mild joy,mild joy,moderate joy 
21367,"Since I started dialysis, I have learned that the care I receive brings me a sense of relief, as I try to adapt day by day.",moderate joy,moderate joy,moderate joy,high joy
2695,"As someone undergoing dialysis, I feel that dialysis helps me continue living with some stability, as part of my ongoing health journey.",moderate joy,mild joy,mild joy,moderate joy 
11708,"Since I started dialysis, I have learned that medical support helps me stay hopeful, even when the process feels demanding.",neutral,moderate joy,moderate joy,moderate joy 
7543,"My experience as a dialysis patient tells me that the treatment allows me to maintain balance in my life, while adjusting to this long-term condition.",high joy,high joy,high joy,high joy
16356,"Living with dialysis has shown me that medical support helps me stay hopeful, despite the challenges involved.",high joy,high joy,high joy,moderate joy 
16168,"No ibuprofen for kidney patients, tylenol only.",mild sadness,neutral,neutral,neutral
1682,"Since I started dialysis, I have learned that the treatment allows me to maintain balance in my life, as I try to adapt day by day.",neutral,moderate joy,moderate joy,high joy
23211,"Since I started dialysis, I have learned that the illness weighs heavily on both my body and my mind, while adjusting to this long-term condition.",moderate sadness,mild sadness,mild sadness,moderate sadness
9150,"Being treated with dialysis has made me realize that my health management requires frequent hospital visits, as I try to adapt day by day.",moderate sadness,mild sadness,neutral,neutral
11554,"Being treated with dialysis has made me realize that the repeated treatments slowly drain my energy and morale, as part of my ongoing health journey.",moderate sadness,mild sadness,mild sadness,mild sadness 
4856,"Since I started dialysis, I have learned that the physical fatigue often turns into emotional exhaustion, despite the challenges involved.",high joy,high joy,high joy,moderate sadness
21355,"As someone undergoing dialysis, I feel that the physical fatigue often turns into emotional exhaustion, while adjusting to this long-term condition.",mild sadness,neutral,mild sadness,
16551,"Living with dialysis has shown me that the burden of treatment affects my sense of stability, while adjusting to this long-term condition.",mild sadness,neutral,mild sadness,moderate sadness
19207,"As someone undergoing dialysis, I feel that dialysis helps me continue living with some stability, despite the challenges involved.",high joy,high joy,high joy,moderate joy 
4768,"Living with dialysis has shown me that I focus mainly on following medical instructions, as I try to adapt day by day.",moderate sadness,mild sadness,neutral,neutral
1872,"Since I started dialysis, I have learned that the treatment allows me to maintain balance in my life, as part of my ongoing health journey.",moderate joy,mild joy,mild joy,moderate joy 
8718,"As someone undergoing dialysis, I feel that the burden of treatment affects my sense of stability, despite the challenges involved.",moderate sadness,mild sadness,mild sadness,deep sadness
17178,"My experience as a dialysis patient tells me that the care I receive brings me a sense of relief, even when the process feels demanding.",high joy,high joy,high joy,moderate joy 
9373,"My experience as a dialysis patient tells me that my daily life is organized around treatment sessions, while adjusting to this long-term condition.",mild sadness,neutral,mild joy,neutral
3140,"As someone undergoing dialysis, I feel that the constant medical routine can be emotionally overwhelming, even when the process feels demanding.",moderate sadness,mild sadness,deep sadness,moderate sadness
3833,"Living with dialysis has shown me that I focus mainly on following medical instructions, as part of my ongoing health journey.",moderate joy,mild joy,mild joy,neutral
21461,"My experience as a dialysis patient tells me that the constant medical routine can be emotionally overwhelming, despite the challenges involved.",mild sadness,neutral,mild sadness,moderate sadness
15210,"Living with dialysis has shown me that dialysis has become part of my regular routine, despite the challenges involved.",mild sadness,mild joy,neutral,neutral
13595,"Being treated with dialysis has made me realize that dialysis has become part of my regular routine, as I try to adapt day by day.",moderate joy,mild joy,mild joy,neutral
16855,"Since I started dialysis, I have learned that the repeated treatments slowly drain my energy and morale, as I try to adapt day by day.",moderate sadness,mild sadness,mild sadness,mild sadness
11615,"Being treated with dialysis has made me realize that medical support helps me stay hopeful, as I try to adapt day by day.",high joy,high joy,high joy,high joy
17156,"Living with dialysis has shown me that dialysis helps me continue living with some stability, even when the process feels demanding.",neutral,moderate joy,moderate joy,moderate joy
19547,"Living with dialysis has shown me that dialysis helps me continue living with some stability, as part of my ongoing health journey.",neutral,moderate joy,moderate joy,high joy
14837,"My experience as a dialysis patient tells me that medical support helps me stay hopeful, as part of my ongoing health journey.",mild sadness,mild joy,mild joy,high joy
9422,"As someone undergoing dialysis, I feel that the physical fatigue often turns into emotional exhaustion, as I try to adapt day by day.",moderate sadness,mild sadness,mild sadness,moderate sadness
13854,"My experience as a dialysis patient tells me that the repeated treatments slowly drain my energy and morale, while adjusting to this long-term condition.",mild joy,mild sadness,mild sadness,neutral
13811,"Since I started dialysis, I have learned that the physical fatigue often turns into emotional exhaustion, as part of my ongoing health journey.",moderate sadness,mild sadness,mild sadness,mild joy
15956,Congratulations. I hope that your new kidney last a lifetime. You got this ????,moderate joy,mild joy,high joy,high joy
15433,"Since I started dialysis, I have learned that the care I receive brings me a sense of relief, despite the challenges involved.",mild sadness,mild joy,moderate joy,high joy
2604,Im hopeful for stem cell lab grown kidneys.,moderate joy,mild joy,moderate joy,moderate joy 
10878,"Living with dialysis has shown me that dialysis gives me reassurance despite the difficulties, as part of my ongoing health journey.",moderate joy,mild joy,high joy,high joy
284,"Being treated with dialysis has made me realize that the care I receive brings me a sense of relief, as part of my ongoing health journey.",moderate joy,mild joy,mild joy,moderate joy 
20397,"As someone undergoing dialysis, I feel that medical support helps me stay hopeful, while adjusting to this long-term condition.",moderate joy,mild joy,mild joy,moderate joy 
7036,"As someone undergoing dialysis, I feel that the repeated treatments slowly drain my energy and morale, despite the challenges involved.",moderate sadness,moderate sadness,moderate sadness,
2013,"My experience as a dialysis patient tells me that the care I receive brings me a sense of relief, while adjusting to this long-term condition.",high joy,high joy,high joy,high joy
1101,"Since I started dialysis, I have learned that dialysis helps me continue living with some stability, as part of my ongoing health journey.",high joy,high joy,high joy,moderate joy 
10536,"Since I started dialysis, I have learned that the repeated treatments slowly drain my energy and morale, while adjusting to this long-term condition.",deep sadness,moderate sadness,moderate sadness,
6248,"Being treated with dialysis has made me realize that medical support helps me stay hopeful, despite the challenges involved.",moderate joy,mild joy,high joy,moderate joy 
14697,"Being treated with dialysis has made me realize that the repeated treatments slowly drain my energy and morale, even when the process feels demanding.",moderate sadness,mild sadness,mild sadness,high joy
3802,"As someone undergoing dialysis, I feel that the burden of treatment affects my sense of stability, even when the process feels demanding.",moderate sadness,mild sadness,mild sadness,deep sadness
11168,"My experience as a dialysis patient tells me that my health management requires frequent hospital visits, while adjusting to this long-term condition.",mild joy,neutral,neutral,neutral
8063,"As someone undergoing dialysis, I feel that dialysis gives me reassurance despite the difficulties, despite the challenges involved.",neutral,moderate joy,moderate joy,mild joy
14330,"My experience as a dialysis patient tells me that dialysis helps me continue living with some stability, even when the process feels demanding.",mild sadness,mild joy,mild joy,mild joy
13925,"Living with dialysis has shown me that dialysis has become part of my regular routine, as I try to adapt day by day.",mild sadness,mild joy,neutral,neutral
5602,"Living with dialysis has shown me that dialysis helps me continue living with some stability, while adjusting to this long-term condition.",high joy,high joy,high joy,high joy
19428,"Being treated with dialysis has made me realize that the burden of treatment affects my sense of stability, as I try to adapt day by day.",mild sadness,neutral,mild sadness,neutral
6962,"As someone undergoing dialysis, I feel that the treatment allows me to maintain balance in my life, as I try to adapt day by day.",high joy,high joy,high joy,moderate joy 
15373,"Since I started dialysis, I have learned that the constant medical routine can be emotionally overwhelming, even when the process feels demanding.",mild sadness,neutral,mild sadness,neutral
10797,"Living with dialysis has shown me that medical support helps me stay hopeful, even when the process feels demanding.",neutral,moderate joy,mild joy,moderate joy 
14841,"As someone undergoing dialysis, I feel that my daily life is organized around treatment sessions, as part of my ongoing health journey.",neutral,moderate joy,neutral,neutral
18140,"Being treated with dialysis has made me realize that the repeated treatments slowly drain my energy and morale, while adjusting to this long-term condition.",mild sadness,neutral,mild sadness,neutral
5256,"As someone undergoing dialysis, I feel that the treatment allows me to maintain balance in my life, despite the challenges involved.",moderate joy,mild joy,mild joy,moderate joy 
1028,"Since I started dialysis, I have learned that the repeated treatments slowly drain my energy and morale, as part of my ongoing health journey.",moderate sadness,mild sadness,mild sadness,mild sadness
19564,"Since I started dialysis, I have learned that my daily life is organized around treatment sessions, even when the process feels demanding.",mild sadness,neutral,neutral,neutral
17983,"Since I started dialysis, I have learned that the physical fatigue often turns into emotional exhaustion, while adjusting to this long-term condition.",mild sadness,neutral,mild sadness,moderate sadness
10298,"Living with dialysis has shown me that the illness weighs heavily on both my body and my mind, even when the process feels demanding.",mild joy,neutral,mild sadness,neutral
10898,"Being treated with dialysis has made me realize that dialysis helps me continue living with some stability, even when the process feels demanding.",neutral,moderate joy,moderate joy,mild joy
11316,"Since I started dialysis, I have learned that the burden of treatment affects my sense of stability, even when the process feels demanding.",moderate sadness,mild sadness,mild sadness,moderate sadness
22540,"My experience as a dialysis patient tells me that dialysis gives me reassurance despite the difficulties, even when the process feels demanding.",high joy,high joy,high joy,moderate joy 
2474,"As someone undergoing dialysis, I feel that medical support helps me stay hopeful, as part of my ongoing health journey.",high joy,high joy,high joy,high joy
3138,"My experience as a dialysis patient tells me that the repeated treatments slowly drain my energy and morale, as I try to adapt day by day.",moderate joy,mild joy,mild sadness ,mild joy
8576,"Since I started dialysis, I have learned that the burden of treatment affects my sense of stability, as I try to adapt day by day.",neutral,moderate joy,moderate sadness,mild sadness 
2507,"As someone undergoing dialysis, I feel that the care I receive brings me a sense of relief, as part of my ongoing health journey.",high joy,high joy,high joy,high joy
10432,"Since I started dialysis, I have learned that the treatment allows me to maintain balance in my life, even when the process feels demanding.",high joy,high joy,high joy,high joy
1288,"My experience as a dialysis patient tells me that medical support helps me stay hopeful, despite the challenges involved.",mild joy,neutral,mild joy,moderate joy 
11326,"As someone undergoing dialysis, I feel that the burden of treatment affects my sense of stability, as I try to adapt day by day.",moderate sadness,mild sadness,mild sadness,moderate sadness
358,Good luck OP! How long were you on dialysis if you don't mind me asking?,neutral,moderate joy,neutral,mild sadness 
14267,"Living with dialysis has shown me that the physical fatigue often turns into emotional exhaustion, as part of my ongoing health journey.",mild sadness,neutral,mild sadness,neutral
19781,"As someone undergoing dialysis, I feel that the repeated treatments slowly drain my energy and morale, as part of my ongoing health journey.",moderate sadness,mild sadness,deep sadness,deep sadness
16736,"Living with dialysis has shown me that medical support helps me stay hopeful, as part of my ongoing health journey.",moderate joy,mild joy,mild joy,high joy
15782,"As someone undergoing dialysis, I feel that dialysis gives me reassurance despite the difficulties, while adjusting to this long-term condition.",high joy,high joy,high joy,moderate joy 
21368,"As someone undergoing dialysis, I feel that medical support helps me stay hopeful, as I try to adapt day by day.",moderate joy,mild joy,mild joy,moderate joy 
16709,"Living with dialysis has shown me that the constant medical routine can be emotionally overwhelming, as part of my ongoing health journey.",moderate sadness,mild sadness,mild sadness,neutral
6492,"Being treated with dialysis has made me realize that my health management requires frequent hospital visits, even when the process feels demanding.",mild sadness,neutral,neutral,neutral
3374,"Being treated with dialysis has made me realize that the constant medical routine can be emotionally overwhelming, while adjusting to this long-term condition.",mild sadness,neutral,mild sadness,moderate sadness
17361,"My experience as a dialysis patient tells me that I focus mainly on following medical instructions, even when the process feels demanding.",moderate joy,mild joy,neutral,neutral
15862,"Being treated with dialysis has made me realize that I focus mainly on following medical instructions, even when the process feels demanding.",neutral,moderate joy,mild joy,neutral
20404,"As someone undergoing dialysis, I feel that the care I receive brings me a sense of relief, as I try to adapt day by day.",high joy,high joy,high joy,moderate joy 
8467,"As someone undergoing dialysis, I feel that the constant medical routine can be emotionally overwhelming, as part of my ongoing health journey.",moderate sadness,mild sadness,neutral,mild sadness
19286,"Living with dialysis has shown me that my daily life is organized around treatment sessions, even when the process feels demanding.",moderate joy,mild joy,neutral,neutral
21343,"Being treated with dialysis has made me realize that the constant medical routine can be emotionally overwhelming, as I try to adapt day by day.",mild sadness,neutral,mild sadness,deep sadness
12915,The guy doesn't want to be a drain on the system while on dialysis.... yah he's SOOOO ENTITLED...,mild sadness,neutral,mild sadness,moderate sadness
19665,"Since I started dialysis, I have learned that dialysis helps me continue living with some stability, despite the challenges involved.",mild joy,neutral,mild joy,moderate joy 
18447,"My experience as a dialysis patient tells me that the physical fatigue often turns into emotional exhaustion, while adjusting to this long-term condition.",mild sadness,neutral,mild sadness,neutral
6686,"Living with dialysis has shown me that the illness weighs heavily on both my body and my mind, as I try to adapt day by day.",deep sadness,deep sadness,deep sadness,moderate sadness
3851,"Being treated with dialysis has made me realize that my daily life is organized around treatment sessions, as part of my ongoing health journey.",neutral,moderate joy,neutral,neutral
17298,"Living with dialysis has shown me that treatment sessions structure most of my week, as I try to adapt day by day.",mild joy,neutral,neutral,neutral
2722,"As someone undergoing dialysis, I feel that treatment sessions structure most of my week, as I try to adapt day by day.",high joy,high joy,mild joy,neutral
18579,"Living with dialysis has shown me that the repeated treatments slowly drain my energy and morale, while adjusting to this long-term condition.",moderate sadness,mild sadness,mild sadness,moderate sadness
